epoch,fid,ms_ssim
20,441.3742,0.996697
40,410.3481,0.997295
60,414.8032,0.997615
80,460.3379,0.998667
100,440.7777,0.998928
120,406.6679,0.998402
140,365.5896,0.992025
160,420.4058,0.972416
180,359.9075,0.681538
200,322.5603,0.545574
220,449.9367,0.855981
240,350.6412,0.772475
260,318.4505,0.442666
280,314.5576,0.336625
300,297.6697,0.228904
320,295.0700,0.331524
340,306.6038,0.342554
360,261.6763,0.190030
380,283.9014,0.241644
400,271.0368,0.163365
420,258.9939,0.202088
440,259.0764,0.226882
460,258.5089,0.172911
480,254.5016,0.204690
500,264.2209,0.186092
520,255.9560,0.204246
540,250.4643,0.168372
560,248.7798,0.190670
580,242.1998,0.152149
600,246.9193,0.193224
620,253.4756,0.223364
640,245.4783,0.200829
660,243.6370,0.132294
680,241.3189,0.146096
700,242.2288,0.174697
720,253.0240,0.190329
740,242.7341,0.174501
760,246.5128,0.174701
780,246.7355,0.238606
800,243.0573,0.164301
820,241.0561,0.184910
840,237.4552,0.215615
860,249.2302,0.128853
880,278.0551,0.289163
900,253.6120,0.253643
920,253.4568,0.271526
940,254.3960,0.273669
960,258.2368,0.200644
980,251.6656,0.214356
1000,240.3674,0.261855
