tag_kimg,nimgs,FID,MS-SSIM
878,256,144.0921260657058,0.17337408661842346
882,256,145.33085591906962,0.1621936857700348
886,256,145.33355756383514,0.1613192856311798
890,256,143.11487205696483,0.16213840246200562
894,256,143.48213697312826,0.16253897547721863
898,256,143.66300110630624,0.18185178935527802
902,256,143.31923554681583,0.16663241386413574
906,256,145.48884449839937,0.16055402159690857
910,256,144.57496709988305,0.15238261222839355
914,256,145.81928440809003,0.163013756275177
918,256,145.62686572307348,0.14241042733192444
922,256,145.51506009792277,0.15762211382389069
926,256,143.92523135888587,0.16860198974609375
930,256,143.99254842251946,0.15919223427772522
934,256,144.68006426314716,0.1590161919593811
938,256,147.18079913612274,0.15843814611434937
942,256,146.60416062904727,0.1572837233543396
946,256,148.38626581316737,0.15858864784240723
950,256,147.91555666329242,0.16547054052352905
954,256,146.69592740090076,0.1593577265739441
958,256,147.59665136692013,0.16068680584430695
962,256,148.19063145675761,0.1581970751285553
966,256,145.40882719050768,0.1622300148010254
970,256,143.60961401619267,0.14761510491371155
974,256,143.61809601201685,0.1609702855348587
978,256,144.39029537115064,0.1696169674396515
982,256,145.1296300876538,0.16426067054271698
986,256,146.32003242527702,0.17219506204128265
990,256,144.54293847495964,0.16273289918899536
994,256,144.09378402389996,0.160432830452919
998,256,146.47448717032103,0.16356034576892853
1002,256,148.07587408998018,0.16782855987548828
1006,256,150.43043311714067,0.16217821836471558
1010,256,152.23882940552573,0.16373535990715027
1014,256,150.1337106181776,0.16293971240520477
1018,256,148.28204389957028,0.16307581961154938
1022,256,149.42979123683165,0.1551498919725418
1026,256,151.11413456530903,0.16299161314964294
1030,256,152.95381814519226,0.16152216494083405
1034,256,153.49257324347252,0.1633654236793518
1038,256,150.61367166501464,0.16647548973560333
1042,256,150.0482828698042,0.17034722864627838
1046,256,150.43148220541312,0.16847720742225647
